year,cause,deaths,deaths_lower,deaths_upper
2008,Cardiovascular diseases,15390485.726842634,14368162.154197443,16125586.908538576
2008,Chronic respiratory diseases,3316643.547816344,2907515.6261815857,3627212.708619224
2008,Diabetes and kidney diseases,2132781.797065023,1960228.728197308,2318154.95609536
2008,Diarrheal diseases,1926533.180367091,1521947.2745457666,2612907.6784615275
2008,Digestive diseases,2229447.1995067424,2006557.0264922827,2472451.1308673746
2008,Lower respiratory infections,2450975.4387753066,2185738.879302124,2698926.878090433
2008,Neonatal disorders,2267440.171617717,2164205.374697271,2372219.9234543424
2008,Total cancers,7762854.504630107,7312771.6992226625,8075846.787141088
2008,"Tracheal, bronchus, and lung cancer",1524170.5767675804,1413027.532613679,1612537.3771976633
2008,Tuberculosis,1491792.098728662,1208441.8594541035,1819452.0748299535
2009,Cardiovascular diseases,15459561.92668039,14472734.53791576,16183245.304678658
2009,Chronic respiratory diseases,3317036.004473757,2924068.758976981,3639739.600805993
2009,Diabetes and kidney diseases,2184973.9068364296,1993072.5785055105,2386023.81311258
2009,Diarrheal diseases,1852788.4165034115,1463991.8860911657,2486220.4650351224
2009,Digestive diseases,2225586.798418107,2003698.1810562648,2478119.6382450773
2009,Lower respiratory infections,2438724.94811726,2174774.973367776,2692779.813531851
2009,Neonatal disorders,2238346.0452626776,2137381.207852825,2340383.1634257534
2009,Total cancers,7837960.225811479,7339954.076199144,8117199.502056607
2009,"Tracheal, bronchus, and lung cancer",1543714.8082286834,1426365.472575443,1638921.23094815
2009,Tuberculosis,1465939.7627785043,1191690.595804031,1796921.264947656
2010,Cardiovascular diseases,15688390.496737247,14691690.914745323,16519823.01980064
2010,Chronic respiratory diseases,3340134.861456405,2965779.5113640176,3675706.7942241663
2010,Diabetes and kidney diseases,2262259.148731224,2062784.8587656545,2476976.7174609904
2010,Diarrheal diseases,1776817.7229555217,1401043.7943052507,2366110.491124596
2010,Digestive diseases,2239255.7385081328,2020762.2033352256,2493356.150158212
2010,Lower respiratory infections,2436005.957804618,2160092.762323448,2699894.7470198595
2010,Neonatal disorders,2193106.5873482763,2088138.3928358385,2298329.744061836
